iter	Logloss
0	0.6677693238
1	0.6469737944
2	0.6282193108
3	0.6104246356
4	0.5952868111
5	0.5817232317
6	0.5700274918
7	0.5600442168
8	0.5511298388
9	0.5423849937
10	0.5348052494
11	0.5283576185
12	0.5223400149
13	0.5164884313
14	0.5116839029
15	0.5070820828
16	0.5027120459
17	0.4982593062
18	0.4942058429
19	0.4912277682
20	0.4885830391
21	0.48589717
22	0.4836292111
23	0.4814081806
24	0.4791914645
25	0.477331455
26	0.4760229232
27	0.4745834396
28	0.4735623286
29	0.472375744
30	0.4707089918
31	0.468535506
32	0.4676759411
33	0.4668947964
34	0.4659542718
35	0.4644946481
36	0.4630627014
37	0.4624967506
38	0.4614111034
39	0.4606700073
40	0.4600520888
41	0.4594934578
42	0.4587013326
43	0.4577004062
44	0.4573362323
45	0.4571074789
46	0.4562409111
47	0.4558014524
48	0.4554977528
49	0.4550598578
50	0.4542007655
51	0.4538966567
52	0.4535085475
53	0.4530750393
54	0.4527212611
55	0.4524097412
56	0.4521609378
57	0.4519977724
58	0.4514694207
59	0.4512703476
60	0.4511506755
61	0.4509278869
62	0.4507415195
63	0.4501517737
64	0.4500009753
65	0.449858147
66	0.4494472822
67	0.4492310092
68	0.4490960637
69	0.4488174446
70	0.4486864393
71	0.4484666907
72	0.4482449061
73	0.4480468224
74	0.4477531944
75	0.4475370671
76	0.4474562311
77	0.4472140338
78	0.4469148412
79	0.4466118011
80	0.4465473016
81	0.4463789345
82	0.4463002014
83	0.4461950181
84	0.4460931343
85	0.4459763678
86	0.4458992972
87	0.4457837347
88	0.4457086159
89	0.4456096254
90	0.4455528357
91	0.4454232841
92	0.4453501695
93	0.4452261433
94	0.4449977331
95	0.4448498759
96	0.4447169328
97	0.4446167951
98	0.4443917964
99	0.4442412475
100	0.4441983769
101	0.4441024396
102	0.4439753821
103	0.4438070628
104	0.4436441788
105	0.4436001881
106	0.4435068839
107	0.4433994816
108	0.4431921363
109	0.4431331195
110	0.4430530001
111	0.4429535338
112	0.4428616079
113	0.4426519473
114	0.4425633384
115	0.4424933446
116	0.442430291
117	0.4423856521
118	0.4422801404
119	0.4422290642
120	0.4420712677
121	0.4420271802
122	0.4420024428
123	0.4419119718
124	0.4418135436
125	0.4417708591
126	0.4417168224
127	0.4416184747
128	0.4414206491
129	0.4411872328
130	0.4410748933
131	0.4410406473
132	0.4410086491
133	0.4409064675
134	0.4408765814
135	0.4406057424
136	0.4405572194
137	0.4404933308
