iter	Passed	Remaining
0	12	6122
1	21	5475
2	31	5172
3	39	4904
4	47	4706
5	57	4699
6	67	4745
7	81	5027
8	95	5211
9	105	5166
10	117	5202
11	127	5200
12	137	5154
13	148	5148
14	157	5088
15	166	5024
16	174	4944
17	183	4926
18	194	4924
19	207	4970
20	224	5110
21	238	5176
22	247	5137
23	254	5055
24	262	4986
25	270	4928
26	283	4972
27	295	4973
28	306	4969
29	316	4961
30	326	4932
31	336	4920
32	348	4937
33	360	4941
34	368	4900
35	377	4862
36	386	4833
37	394	4801
38	407	4815
39	420	4830
40	429	4809
41	437	4772
42	445	4734
43	453	4697
44	460	4658
45	469	4636
46	479	4623
47	487	4592
48	496	4572
49	507	4566
50	516	4546
51	524	4516
52	533	4498
53	543	4485
54	553	4477
55	561	4453
56	571	4442
57	579	4419
58	587	4389
59	593	4354
60	600	4321
61	608	4295
62	617	4282
63	626	4269
64	635	4254
65	642	4225
66	650	4203
67	658	4183
68	665	4157
69	674	4143
70	681	4117
71	687	4089
72	695	4067
73	702	4041
74	710	4028
75	717	4005
76	727	3994
77	736	3982
78	745	3974
79	756	3969
80	768	3974
81	777	3963
82	786	3953
83	794	3935
84	802	3915
85	813	3914
86	824	3913
87	838	3924
88	849	3921
89	860	3919
90	870	3911
91	878	3897
92	888	3888
93	904	3908
94	915	3902
95	926	3899
96	937	3897
97	948	3890
98	961	3894
99	973	3895
100	983	3885
101	992	3871
102	1000	3857
103	1010	3848
104	1018	3829
105	1025	3812
106	1037	3811
107	1048	3806
108	1062	3810
109	1073	3805
110	1082	3792
111	1091	3782
112	1102	3775
113	1112	3767
114	1122	3756
115	1129	3740
116	1136	3721
117	1144	3704
118	1152	3691
119	1164	3687
120	1178	3692
121	1190	3689
122	1200	3679
123	1208	3664
124	1215	3646
125	1224	3634
126	1234	3625
127	1242	3612
128	1250	3597
129	1262	3592
130	1273	3585
131	1283	3577
132	1297	3579
133	1313	3588
134	1321	3573
135	1330	3561
136	1340	3550
137	1347	3534
138	1355	3520
139	1363	3506
140	1373	3496
141	1383	3488
142	1391	3474
143	1399	3459
144	1410	3452
145	1420	3444
146	1427	3428
147	1435	3414
148	1444	3403
149	1453	3392
150	1461	3377
151	1467	3359
152	1475	3347
153	1484	3335
154	1493	3324
155	1502	3312
156	1515	3309
157	1528	3308
158	1537	3296
159	1588	3375
160	1602	3373
161	1610	3360
162	1618	3345
163	1627	3333
164	1635	3319
165	1643	3306
166	1650	3291
167	1660	3280
168	1669	3268
169	1677	3255
170	1684	3241
171	1691	3225
172	1698	3210
173	1705	3195
174	1712	3179
175	1718	3163
176	1725	3148
177	1733	3135
178	1744	3128
179	1752	3115
180	1759	3101
181	1766	3086
182	1772	3069
183	1778	3054
184	1784	3038
185	1790	3023
186	1796	3007
187	1802	2992
188	1809	2977
189	1816	2964
190	1824	2952
191	1833	2941
192	1842	2931
193	1851	2919
194	1861	2912
195	1872	2903
196	1880	2892
197	1893	2888
198	1903	2879
199	1913	2870
200	1925	2863
201	1935	2854
202	1945	2845
203	1954	2836
204	1962	2824
205	1971	2813
206	1979	2801
207	1987	2789
208	1995	2777
209	2003	2767
210	2011	2755
211	2019	2743
212	2026	2731
213	2036	2721
214	2046	2712
215	2054	2701
216	2062	2690
217	2069	2677
218	2076	2664
219	2082	2650
220	2089	2637
221	2095	2624
222	2102	2611
223	2109	2599
224	2117	2588
225	2124	2575
226	2131	2563
227	2137	2550
228	2143	2537
229	2151	2525
230	2158	2513
231	2165	2501
232	2173	2490
233	2183	2482
234	2191	2471
235	2201	2462
236	2230	2475
237	2238	2464
238	2247	2453
239	2254	2442
240	2262	2431
241	2268	2418
242	2274	2405
243	2281	2393
244	2287	2380
245	2293	2367
246	2298	2354
247	2304	2342
248	2311	2330
249	2318	2318
250	2324	2306
251	2330	2293
252	2336	2281
253	2342	2268
254	2348	2256
255	2354	2244
256	2360	2231
257	2366	2219
258	2372	2207
259	2379	2196
260	2385	2184
261	2391	2172
262	2397	2160
263	2403	2148
264	2409	2136
265	2415	2125
266	2422	2113
267	2427	2101
268	2433	2089
269	2440	2078
270	2447	2068
271	2453	2056
272	2460	2045
